date,home_team,score,away_team
01-09-2023,Luton,1 - 2,West Ham
16-09-2023,West Ham,1 - 3,Man City
24-09-2023,Liverpool,3 - 1,West Ham
30-09-2023,West Ham,2 - 0,Sheffield United
08-10-2023,West Ham,2 - 2,Newcastle
22-10-2023,Aston Villa,4 - 1,West Ham
29-10-2023,West Ham,0 - 1,Everton
04-11-2023,Brentford,3 - 2,West Ham
12-11-2023,West Ham,3 - 2,Nott'm Forest
25-11-2023,Burnley,1 - 2,West Ham
03-12-2023,West Ham,1 - 1,Crystal Palace
07-12-2023,Tottenham,1 - 2,West Ham
10-12-2023,Fulham,5 - 0,West Ham
17-12-2023,West Ham,3 - 0,Wolves
23-12-2023,West Ham,2 - 0,Man United
28-12-2023,Arsenal,0 - 2,West Ham
02-01-2024,West Ham,0 - 0,Brighton
21-01-2024,Sheffield United,2 - 2,West Ham
01-02-2024,West Ham,1 - 1,Bournemouth
04-02-2024,Man United,3 - 0,West Ham
11-02-2024,West Ham,0 - 6,Arsenal
17-02-2024,Nott'm Forest,2 - 0,West Ham
26-02-2024,West Ham,4 - 2,Brentford
02-03-2024,Everton,1 - 3,West Ham
14-08-2023,Man United,1 - 0,Wolves
19-08-2023,Wolves,1 - 4,Brighton
26-08-2023,Everton,0 - 1,Wolves
03-09-2023,Crystal Palace,3 - 2,Wolves
16-09-2023,Wolves,1 - 3,Liverpool
23-09-2023,Luton,1 - 1,Wolves
30-09-2023,Wolves,2 - 1,Man City
08-10-2023,Wolves,1 - 1,Aston Villa
21-10-2023,Bournemouth,1 - 2,Wolves
28-10-2023,Wolves,2 - 2,Newcastle
04-11-2023,Sheffield United,2 - 1,Wolves
11-11-2023,Wolves,2 - 1,Tottenham
27-11-2023,Fulham,3 - 2,Wolves
02-12-2023,Arsenal,2 - 1,Wolves
05-12-2023,Wolves,1 - 0,Burnley
09-12-2023,Wolves,1 - 1,Nott'm Forest
17-12-2023,West Ham,3 - 0,Wolves
24-12-2023,Wolves,2 - 1,Chelsea
27-12-2023,Brentford,1 - 4,Wolves
30-12-2023,Wolves,3 - 0,Everton
22-01-2024,Brighton,0 - 0,Wolves
01-02-2024,Wolves,3 - 4,Man United
04-02-2024,Chelsea,2 - 4,Wolves
10-02-2024,Wolves,0 - 2,Brentford
17-02-2024,Tottenham,1 - 2,Wolves
25-02-2024,Wolves,1 - 0,Sheffield United
02-03-2024,Newcastle,3 - 0,Wolves
09-03-2024,Wolves,? - ?,Fulham
